cells      L2_u          L2_p      
     8 4.21e-01    - 9.26e-02    - 
    64 9.62e-02 2.13 2.31e-02 2.00 
   512 2.36e-02 2.03 5.76e-03 2.01 
  4096 5.86e-03 2.01 1.44e-03 2.00 
 32768 1.46e-03 2.00 3.59e-04 2.00 
262144 3.66e-04 2.00 8.98e-05 2.00 
