cells      L2_u           L2_p      
   16 2.567e-03    - 2.016e-01    - 
   64 2.714e-04 3.24 5.064e-02 1.99 
  256 3.209e-05 3.08 1.241e-02 2.03 
 1024 3.946e-06 3.02 3.053e-03 2.02 
